y,x,z
-38.451074,144.861841,1.042
-38.440522,144.785772,0
-38.426066,144.726353,0
-38.381664,144.67418,0
-38.35798,144.59345,0
-38.343442,144.534095,0
-38.302807,144.465381,0
-38.279061,144.384624,4.367
-38.268303,144.308521,34.591
-38.279773,144.258374,56.15
-38.287413,144.224921,80.424
-38.317913,144.090963,157.764
-38.355464,144.049779,230.939
-38.423027,144.000868,308.583
-38.509196,143.994675,49.6
-38.565399,143.996163,0
-38.638573,143.985337,0
-38.680158,143.926827,0
-38.695543,143.858987,0
-38.710898,143.791074,0
-38.726207,143.723108,0
-38.745261,143.638107,261.587
-38.764295,143.55295,280.764
-38.762548,143.497279,8.916
-38.768378,143.407409,80.96
-38.753423,143.34715,56.299
-38.719662,143.243702,83.759
-38.685743,143.140367,59.378
-38.638487,143.032696,0
-38.604506,142.929166,62
-38.566694,142.842837,19.134
-38.568361,142.769714,0
-38.543615,142.68777,0
-38.529906,142.553992,0
-38.518253,142.476158,0
-38.489641,142.411309,0
-38.464697,142.329086,0
-38.436027,142.264155,0
-38.410956,142.181868,0
-38.365311,142.130031,8.673
-38.326905,142.043469,5.908
-38.277559,142.009092,15.113
-38.252303,141.926733,13.901
-38.23664,141.865974,11.867
-38.214883,141.766013,15.142
-38.215989,141.691855,115.857
-38.224204,141.582568,76.951
-38.251817,141.516468,82.124
-38.312185,141.4979,74.52
-38.376191,141.461613,0
-38.386973,141.408604,115.371
-38.404895,141.32015,0
-38.38639,141.201249,0
-38.333956,141.109476,0
-38.277036,141.110793,0
-38.206824,141.107897,0
-38.142916,141.144554,0
-38.082737,141.162814,65.555
-38.049892,141.114755,53.319
-38.007203,141.04482,42.933
-37.951142,140.97064,41.227
-37.907776,140.975521,55.332
-37.854576,140.958514,80.766
-37.784617,140.954905,72.85
-37.731407,140.93794,70.178
-37.674759,140.938593,71.738
-37.627993,140.961051,71.524
-37.561486,140.939893,76.379
-37.50145,140.958086,72.299
-37.461548,140.945412,81.652
-37.40494,140.946055,75.443
-37.33504,140.942482,73.979
-37.27845,140.943127,83.684
-37.221869,140.943771,104.896
-37.165297,140.944413,111.932
-37.108733,140.945054,101.195
-37.052179,140.945695,100.053
-36.982336,140.94214,97.293
-36.929138,140.92538,107.324
-36.872605,140.926035,98.616
-36.802784,140.922476,98.739
-36.732973,140.918922,99.923
-36.673166,140.936879,102.605
-36.606678,140.916004,107.264
-36.546904,140.933611,107.762
-36.487127,140.950378,112.806
-36.430628,140.949916,113.025
-36.374118,140.949454,119.06
-36.304282,140.944581,112.414
-36.257803,140.965703,116.871
-36.187946,140.96084,118.913
-36.128145,140.97753,141.636
-36.074837,140.959942,128.555
-35.998456,140.989331,128.929
-35.931779,140.967374,130.645
-35.875187,140.966922,139.074
-35.818586,140.966471,138.372
-35.748624,140.96164,125.324
-35.67544,140.973871,119.609
-35.622005,140.956373,126
-35.588891,140.981706,130.554
-35.505518,140.972508,112.758
-35.448859,140.972055,112.497
-35.389017,140.988598,135.424
-35.332347,140.988136,106.129
-35.259125,141.000284,97.775
-35.185901,141.012411,89.147
-35.129068,141.011401,76.607
-35.068909,141.026742,67.875
-35.011889,141.025207,56.751
-34.938207,141.035927,60.398
-34.864488,141.046634,44.991
-34.807372,141.045092,45.498
-34.747087,141.060372,61.288
-37.710434,142.228671,216.815
-37.61731,142.270611,212.022
-37.537375,142.316798,224.489
-37.470613,142.36724,229.251
-37.43724,142.392413,231.559
-37.331124,142.429512,344.101
-37.241729,142.453966,244.63
-37.198814,142.457721,554.025
-37.155905,142.461472,394.861
-37.073632,142.452101,439
-37.03074,142.455848,465.093
-36.948487,142.446501,240.556
-36.853123,142.43282,163.905
-36.774385,142.406726,147.243
-36.735012,142.3937,137.103
-36.669387,142.372018,133.847
-36.614148,142.300048,141.1
-36.51597,142.231321,133.336
-36.45712,142.175428,130.219
-36.394777,142.136301,131.208
-36.286523,142.045915,106.764
-36.197639,141.997666,85.366
-36.075743,141.902122,74
-35.989914,141.837009,87.964
-35.933751,141.764001,104.507
-35.910591,141.738182,109.535
-35.857579,141.648294,100.003
-35.867479,141.597541,97.022
-36.013302,141.574263,116.735
-36.109388,141.58848,134.704
-36.1856,141.559818,115.66
-36.281628,141.574049,123.3
-36.321335,141.587449,123.35
-36.417287,141.601727,152.927
-36.625634,141.616767,191.449
-36.787545,141.650913,192.609
-36.800753,141.655195,169.235
-36.668653,141.61244,168.912
-36.417468,141.529101,148.699
-36.258553,141.475562,151.521
-36.099418,141.422173,129.905
-35.966638,141.377798,129.392
-36.424386,141.276565,137.118
-36.729497,141.229863,124.892
-36.759369,141.221043,133.65
-36.693054,141.199951,132.044
-36.440957,141.19091,122.427
