UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179813600,2007-05-22T06:00:00Z,-39.110134,142.597888,0,1879.189,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.071773,142.457881,0,1892.018,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.062099,142.371213,0,1899.586,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.049184,142.255502,0,1909.692,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.036182,142.139731,0,1919.806,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-39.019669,141.994992,0,1932.458,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.999700,141.821286,0.0,1947.648,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.989645,141.734313,0.0,1955.256,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.972744,141.589349,0.0,1967.942,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.969340,141.560355,0.0,1970.48,0,0,No Data,No Data
1179813600,2007-05-22T06:00:00Z,-38.893651,141.309222,0.0,1993.804,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.853825,141.169285,0.0,2006.718,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.836184,141.024359,0.0,2019.437,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.825531,140.937323,0.0,2027.078,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.807668,140.792087,0.0,2039.832,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.770900,140.680980,0.0,2050.306,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.756357,140.564778,0.0,2060.522,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.738195,140.418827,0.0,2073.355,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.730832,140.360581,0.0,2078.479,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.719728,140.273201,0.0,2086.168,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.611654,140.148848,0.0,2102.342,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.529763,140.228194,0.0,2113.779,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.425536,140.312553,0.0,2127.516,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.339940,140.362451,0.0,2137.993,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.272972,140.378090,0.0,2145.573,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.142726,140.437990,0.0,2160.991,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-38.053593,140.458164,0.0,2171.07,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.920005,140.488165,36.011,2186.173,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.786428,140.517539,24.082,2201.266,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.675123,140.541936,75.376,2213.842,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.519312,140.575962,57.499,2231.446,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.430286,140.595338,54.75,2241.504,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.230053,140.638726,54.614,2264.124,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.055796,140.705344,47.484,2284.405,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-37.011305,140.714871,48.461,2289.43,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.900085,140.738641,83.989,2301.991,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.788878,140.762337,93.289,2314.55,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.699914,140.781232,97.405,2324.597,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.633204,140.795362,98.197,2332.13,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.455236,140.832082,96.0,2352.213,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.366213,140.850100,99.444,2362.254,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.277189,140.868074,119.254,2372.295,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.210405,140.881537,100.23,2379.828,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.117609,140.871468,115.35,2390.198,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-36.047058,140.856938,119.0,2398.16,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.957984,140.874852,121.315,2408.207,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.794551,140.850337,131.635,2426.536,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.660896,140.877122,123.529,2441.611,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.564213,140.839314,128.523,2452.905,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.519651,140.848233,124.881,2457.931,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.356073,140.823892,111.956,2476.275,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.200070,140.855024,101.723,2493.872,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.103128,140.817013,86.622,2505.205,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-35.013700,140.834078,89.85,2515.282,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.875661,140.831988,74.592,2530.651,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.759930,140.825650,63.487,2543.548,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.692783,140.838401,39.964,2551.114,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.528307,140.813024,44.836,2569.572,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.371492,140.842697,22.258,2587.241,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.281849,140.859609,22.75,2597.341,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.192185,140.876489,48.0,2607.443,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.080072,140.897543,80.609,2620.074,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-33.971827,140.945923,27.334,2632.925,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-33.930848,140.981649,22.042,2638.555,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.665493,149.856514,918.354,3458.601,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.554198,149.894373,721.868,3471.468,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.459581,149.820525,856.111,3483.992,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.522809,149.732051,811.708,3494.737,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.516773,149.622554,943.847,3504.803,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.515248,149.595190,946.001,3507.319,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.505968,149.431074,962.56,3522.41,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.494870,149.239758,793.127,3540.006,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.485127,149.075904,601.374,3555.08,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.474723,148.912596,603.449,3570.112,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.464065,148.749394,568.174,3585.138,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.455021,148.613441,536.917,3597.658,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.442107,148.423195,483.544,3615.183,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.434589,148.314531,515.003,3625.195,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.428887,148.233058,508.459,3632.703,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.374279,148.102282,401.9,3646.166,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.342026,147.969163,300.024,3658.916,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.334111,147.860719,265.657,3668.924,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.324087,147.725213,256.906,3681.432,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.320035,147.671028,254.871,3686.434,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.311676,147.562758,311.624,3696.433,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.278574,147.430101,247.989,3709.178,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.245325,147.297536,275.455,3721.925,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.238789,147.216433,279.816,3729.424,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.227798,147.081286,244.805,3741.923,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.218903,146.973196,231.848,3751.922,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.207651,146.838120,202.046,3764.42,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.221002,146.727296,174.397,3774.73,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.209481,146.592265,157.553,3787.227,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.224949,146.508423,150.007,3795.135,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.260445,146.394688,143.135,3806.323,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.250949,146.286674,135.408,3816.318,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.281045,146.118793,127.078,3832.123,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.290926,145.980766,119.0,3844.867,0,0,No Data,No Data
